farsi,exactr,exactf,chapter
emkānāt,возможности,امکانات,22
farāham kardan (kon),"закупать, обеспечивать",فراهم کردن,22
futsāl,крытый футбол,فوتسال,22
gerāmi,дорогой,گرامی,22
geyt,ворота,گیت,22
golzani,забитые голы,گلزنی,22
hālat,"состояние, положение, тип",حالت,22
hamaknun,"теперь, в настоящее время",همکنون,22
imeni,безопасность,ایمنی,22
jahānpahlevān,чемпион мира,جهانپهلوان,22
jām-e jahāni,кубок мира,جامِ جهانی,22
jāsus,шпион,جاسوس,22
javānmard ,"благородный, рыцарский",جوانمرد ,22
kamarband-e imeni,ремень безопасности,کمربندِ ایمنی,22
kārt-e parvāz,посадочный талон,کارتِ پرواز,22
koštan (koš),убить,کشتن,22
košti,борьба,کشتی,22
kuhestāni,гористый,کوهستانی,22
lavāzem ,принадлежности,لوازم ,22
mahalle,квартал,محله,22
matlab,тема,مطلب,22
moāmele,"бизнес, сделка",معامله,22
mosābeqāt,"соревнования, игры",مسابقات,22
mosāfer,"путешественник, пассажир",مسافر,22
motesaddi,должностное лицо,متصدی,22
movaffaqiyat,успех,موفقیت,22
mowzu’,"тема, тематика, вопрос",موضوع,22
namāyeš ,"предстваление, игра",نمایش ,22
otomobilrāni,автоспорт,اتومبیلرانی,22
pahlevān,богатырь,پهلوان,22
poštesar,за,پشتسر,22
poštesar gozāštan (gozār),оставить позади,پشت سر گذاشت,22
qahremān,"чемпион, герой",قهرمان,22
qahremāni,"чемпионство, геройство",قهرمانی,22
qeyrenezāmi,гражданский,غیرنظامی,22
rābete,"связь, отношение",رابطه,22
rāh yāftan (yāb),достигать,راه یافتن,22
rahgozar,прохожий,رهگذر,22
raqib,конкурент,رقیب,22
rekord,запись,رکورد,22
robudan (robā),"похитить, ограбить",ربودن,22
sākdasti,ручнай кладь,ساکدستی,22
sanginvazn,тяжелый вес,سنگینوزن,22
sarmehmāndār,старшая стюардесса,سرمهماندار,22
saxrenavardi,скалолазание,سخرنوردی,22
sefr,ноль,صفر,22
šerkat,фирма,شرکت,22
sud,"прибыть, выгода",سود,22
surat gereftan (gir),иметь место,صورت گرفتن,22
tark kardan (kon),отпуск,ترک کردن,22
tavajjoh,внимание,توجه,22
tavassot-e,"через, посредством",توسطِ,22
te’dād,"число, подсчёт",تعداد,22
tebq-e,согласно,طبقِ,22
tim,команда,تیم,22
tirandāzi,"стрельба из лука, стрельба",تیراندازی,22
vālibāl,волейбол,والیبال,22
varzeš-e razmi,боевые искусства,ورزشِ رزمی,22
vaznebardāri,тяжелая атлетика,وزنبرداری,22
vojud,наличие,وجود,22
xodrow,автомобиль,خودرو,22
xošāmad goftan (gu),добро пожаловать,خوشامد گفتن,22
zarar,убыток,ضرر,22
āhanin,железо,آهنین,23
āmuxtan (āmuzeš),"учить, учиться",آموختن,23
āni,мгновенный,آنی,23
ārezu,желание,آرزو,23
asbābbāzi,игрушка,اسباب‌بازی,23
avvaliye,первичный; предварительный; изначальный,اولی,23
āzādi,свобода,آزادی,23
bānd,багажный ремень; лента; рулонная повязка,باند,23
bāqbān,садовник,باغبان,23
bardāšt,впечатление,برداشت,23
bastan (band),закрыть; завернуть; запирать,بستن,23
bātajrobe,опытный,باتجربه,23
bāz kardan (kon),открыть; распаковывать,باز کردن,23
bāzikon,игрок,بازیکن,23
bāzpors,задающий вопрос,بازپرس,23
be zamin nešastan (nešin),земля,به زمین نشستن,23
bedāhenavāzi,импровизация,بداهنوازی,23
benām,известный,بنام,23
biadab,груб; невежливый,بیادب,23
binā,зрячий,بینا,23
bord,прибыль; победа; выигрыш,برد,23
bozorgi,величина; укрупнение,بزرگی,23
ciredast,искусный,چیردست,23
daf,бубен,دف,23
daftarce,буклет,دفترچه,23
dānā,знаток,دانا,23
darbār,двор,دربار,23
daryāft,прием,دریافت,23
dastgāh,прибор,دستگاه,23
deldāri dādan (deh),консоль,دلداری دادن,23
divāne,сумасшедший,دیوانه,23
espāniyāyi,испанец; испанский,اسپانیایی,23
forud,спуск; посадка,فرود,23
forud āmadan (ā),земля,فرود آمدن,23
gomrok,обычаи,گمرک,23
gomroki,обычаи,گمرکی,23
gorosnegi,голод,گرسنگی,23
gostareš yāftan (yāb),распространяться,گسترش یافتن,23
gozārešgar,репортер,گزارشگر,23
guyande,диктор; объявляющий,گویند,23
honarkade,студия; мастерская художника,هنرکده,23
ist,"остановка, стояние",ایست,23
kamānce,скрипка,کمانچه,23
kāmyāb,успешный; процветающий,کامیاب,23
ma’mur,офицер; агент,معمور,23
mafhum ,концепция; смысл; понятие;,مفهوم ,23
mānand-e,подобно (чему-либо),مانند,23
moāf,освобожденный от чего-то,معاف,23
mohtaram,уважаемый,محترم,23
namakdān,солонка; соляной погреб,نمکدان,23
naxeyr,нет (4б),نخیر,23
neveštār,статья; документ; письмо; текст,نوشتار,23
ney,"флейта, соломинка",نی,23
pardāxt,оплата,پرداخت,23
pardāxt kardan (kon),платить,پرداخت کردن,23
pasraft,регресс; отступление,پسرفت,23
paxš,широкое вещание; трансляция,پخش,23
pesarak,парень,پسرک,23
pišpardāxt,депозит; предоплата; аванс,پیش‌پرداخت ,23
poxte,приготовленный,پخته,23
qābelemolāheze,значительный,قابل‌ملاهزه,23
qateāt,части; запасные части,قطعات,23
qateāt-e taškildehande ,"компоненты, элементы",قطعات تشکیل‌دهنده,23
ravān,свободный; душа,روان,23
ruzāne,ежедневно,روزانه,23
samfoni,симфония,سمفونی,23
santur,иранский цимбал,سنتور,23
šast,шестьдесят; большой палец руки,شصت,23
šaxsi,"личный, частный, гражданский",شخصی,23
sowqāti,сувенир,سوغاتی,23
tahvil gereftan (gir),получить,تحویل گرفتن,23
tamāšāgar,зритель; аудитория,تماشاگر,23
"taškil šodan (šav, šow)",состоять,تشکیل شدن,23
tulāni,длинный (ط___),طولانی,23
vāgozār kardan (kon),оставить; потерять,واگذار کردن,23
varzešgāh,стадион,ورزشگاه,23
xallāqiyat,"креативность, творческость",خلاقیت,23
xāternešān kardan (kon),примечание; замечание,خاطرنشان کردن,23
yekmeqdār,некоторые; немного,یکمقدار,23
ābanbār,цистерна,آبنبار,24
āberu,"честь, репутация, престиж",آبرو,24
ahammiyat,значение,اهمیت,24
ānmowqe’,"тогда, в то время",آنموقع,24
arze kardan (kon),предложение,عرضه کردن,24
az taraf-e,во имя,از طرفِ,24
badandiš,"жестокий, злонамеренный",بداندیش,24
bāzigar,актер; художник; исполнитель,بازیگر,24
be in zudi,так рано,به این زودی,24
be tavāfoq residan (res),согласиться; достичь соглашения,به توافق رسیدن,24
belitforuš,продавец билетов,بلیتفروش,24
bolandgu,громкоговоритель,بلندگو,24
bordobāxt,победа и поражение,بردباخت,24
cāne zadan (zan),торговаться,چانه زدن,24
cānezani,переговоры,چانزنی,24
dahe,десятилетие,دهه,24
dardesar,"беда, тяжелое положение",دردسر,24
dāstānnevis,романист,داستان‌نویس,24
dastband,браслет; наручники,دستبند,24
dāvar,судья; арбитр,داور,24
dolā,"двойной, двуслойный",دولا,24
ezdevāj,брак,ازدواج,24
fāreqottahsil,выпускник,فارغ التحصیل,24
filmbardāri,запись фильмов,فیلمبرداری,24
filmsāz,кинорежиссер,فیلمساز,24
forušande,продавец,فروشند,24
goftogu ,"диалог; разговор; беседа, интервью",گفتگو ,24
hey’at,комитет; комиссия; панель,هیأت,24
hozur,присутствие,حضور,24
jalb kardan (kon),привлекать,جلب کردن,24
jašnvāre,фестиваль,جشنواره,24
javāyez,награды,جوایز,24
jodāyi,разделение; развод,جدایی,24
jozv(-e),часть; среди,جزو,24
kamhowsele,нетерпеливый,کم حوصله,24
kamrang,бледный,کمرنگ,24
kārgardān,директор,کارگردان,24
ketābforuš,"продавец книг, книжный магазин",کتابفروش,24
lož,"будка, киоск",لژ,24
maqāze,магазин,مغازه,24
matrah,важный; предложенный,مطرح,24
mo’tabar,заслуживающий доверие; надежный; действительный,معتبر,24
moddatzamān,продолжительность; длина,مدت‌زمان,24
montaqed,критик,منتقد,24
mostamar,непрерывный,مستمر,24
movaffaqiyatāmiz,успешный,موفقیت‌آمیز,24
mowredenazar,"намеренный, желанный",موردنظر,24
nešāne,знак; символ,نشان,24
peyvaste,непрерывный,پیوسته,24
poršomār,многочисленные,پرشمار,24
porzarqobarq,блестящий,پرزرقبرق,24
poxtopaz,готовка еды,پختپز,24
qulpeykar,гигантский; огромный,قولپیکر,24
rošd,"рост, прирост",رشد,24
sadhā,сотни,صدها,24
sālāne,"ежегодный, готовой",سالانه,24
san’at,промышленность,صنعت,24
sāns,прогон фильма,سانس,24
saranjām,в конце концов,سرانجام,24
sarosedā,шум,سروصدا,24
sarovaz’,снаряжение,سر و وضع,24
seguš,треугольник; треугольный,سگوش,24
sinamāgar,кинорежиссер,سینماگر,24
šokufā,"цветущий, процветающий",شکوفا,24
ta’m,вкус,طعم,24
tahiyekonande,производитель,تهیه‌کننده,24
talāforuš,ювелир,طلافروش,24
tavāfoq,согласие,توافق,24
tizhuš,сообразительный,تیژوش,24
xandeāvar,"смешной, комический",خنده‌آور,24
xolāse,резюме,خلاصه,24
xošandām,"стройный, красивый",خشندام,24
zadoxord,"драка, сражение",زدخرد,24
zeytun,олива,زیتون,24
